title,,brand,price,categories
"HP Wireless Silent 280M Mouse - Ergonomic Right-Handed Design, 18 Month Battery Life, and 2.4GHz Reliable Connection - Works for Computers and Laptops - Far Quieter Clicks than Most Mice,Black",,HP,18.99,"[""Electronics"",""Computers & Accessories"",""Computer Accessories & Peripherals"",""Keyboards, Mice & Accessories"",""Mice""]"
"Dell G16 7630 Gaming Laptop - 16-inch QHD+ 240Hz 3ms Display, Intel Core i9-13900HX, 16GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 4070 8GB GDDR6, Windows 11 Home, Onsite Service - Metallic Nightshade",,Dell,1299.99,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Laptops"",""Traditional Laptops""]"
"HP 64XL Tri-color High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J91AN",,HP,57.89,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printer Parts & Accessories"",""Printer Ink & Toner"",""Inkjet Ink Cartridges""]"
"TruSkin Vitamin C Serum – Anti Aging Facial Serum with Vitamin C, Hyaluronic Acid, Vitamin E – Brightening Serum – Even Skin Tone, Improve Appearance of Dark Spots, Fine Lines & Wrinkles, 1 Fl Oz",,TruSkin Naturals,19.77,"[""Beauty & Personal Care"",""Skin Care"",""Face"",""Treatments & Masks"",""Serums""]"
"KitchenAid All Purpose Kitchen Shears with Protective Sheath Durable Stainless Steel Scissors, Dishwasher Safe, Soft Grip Comfort Handle, 8.72 Inch, Black",,KitchenAid,8.99,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Shears""]"
"Dell Inspiron 3530 Laptop - 15.6-inch FHD 120Hz Display, Intel Core i5-1334U Processor, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Migrate Services - Platinum Silver (Aluminum)",,Dell,499.99,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Laptops"",""Traditional Laptops""]"
"READYWISE - Organic Bucket, 90 Servings, Emergency, MRE Meal, Food Supply, Premade, Freeze Dried Survival Food for Hiking, Adventure and Camping Essentials, Individually Packaged, 25 Year Shelf Life",,ReadyWise,185,"[""Sports & Outdoors"",""Outdoor Recreation"",""Camping & Hiking"",""Camp Kitchen"",""Freeze-Dried Food""]"
"HP 63 Tri-color Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U61AN",,HP,34.89,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printer Parts & Accessories"",""Printer Ink & Toner"",""Inkjet Ink Cartridges""]"
"Microsoft Surface Laptop Go 3 (2023) - 12.4"" Touchscreen, Thin & Lightweight, Intel Core i5, 8GB RAM, 256GB SSD SSD, with Windows 11, Sandstone Color Copilot",,Microsoft,649,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Laptops"",""Traditional Laptops""]"
"Samsung Galaxy Tab S9 FE+ 12.4” 128 GB Android Tablet, IP68 Water- and Dust-Resistant, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Design, US Version, 2023, Mint",,SAMSUNG,599,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Tablets""]"
"HP (CR671A)Premium Plus Photo Paper, Satin,White,8.5x11 in, 25 sheets",,HP,20.99,"[""Office Products"",""Office & School Supplies"",""Paper"",""Copy & Printing Paper"",""Photo Paper""]"
"HP ENVY Inspire 7955e Wireless Color Inkjet Printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, 3 months of Instant Ink included, White",,HP,149.99,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printers"",""Inkjet Printers"",""Ink Tank Printers""]"
Anne Klein Women's Premium Crystal Accented Bangle Watch and Bracelet Set,,AK Anne Klein,53.79,"[""Clothing, Shoes & Jewelry"",""Women"",""Watches"",""Wrist Watches""]"
"READYWISE - Breakfast Bucket, 120 Servings, Emergency, MRE Meal, Food Supply, Premade, Freeze Dried Survival Food for Hiking, Adventure & Camping Essentials, Individually Packaged, 25 Year Shelf Life",,ReadyWise,139.99,"[""Sports & Outdoors"",""Outdoor Recreation"",""Camping & Hiking"",""Camp Kitchen"",""Freeze-Dried Food""]"
"HP 65XL Black High-yield Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K04AN",,HP,38.89,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printer Parts & Accessories"",""Printer Ink & Toner"",""Inkjet Ink Cartridges""]"
Chabiothé Matcha Dégustation Bio 100g - Origine Japon et sachet biodégradable - conditionné en France - thé vert Matcha en poudre,,Chabiothé,10.99,"[""Epicerie"",""Café, thé et boissons"",""Thé et infusions"",""Thé vert"",""Matcha""]"
"HP OfficeJet 8015e Wireless Color All-in-One Printer, 6 months of Instant Ink included",,HP,99.99,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printers"",""Inkjet Printers""]"
"HP Professional Business Paper, Glossy, 8.5x11 in, 48 lb, 150 sheets, works with inkjet, PageWide, laser printers (Q1987A)",,HP,36.43,"[""Office Products"",""Office & School Supplies"",""Paper"",""Business Paper Products"",""Brochure Paper""]"
"Edicare, Bottes Pressothérapie, Drainage Lymphatique, Appareil de Massage, Jambes Pieds Fatigués, Massage et Relaxation, Facile à Utiliser, Eficacité Professionnelle (Dispositif et boucles de jambe)",,Edicare,195.49,"[""Hygiène et Santé"",""Bien-être et massage"",""Massage et relaxation"",""Masseurs électriques"",""Masseurs électriques pour les pieds""]"
"Logitech K120 Wired Keyboard for Windows, Plug and Play, Full-Size, Spill-Resistant, Curved Space Bar, Compatible with PC, Laptop - Black",,Logitech,12.34,"[""Electronics"",""Computers & Accessories"",""Computer Accessories & Peripherals"",""Keyboards, Mice & Accessories"",""Keyboards""]"
"Microsoft Surface Laptop 5 (2022), 13.5"" Touch Screen, Thin & Lightweight, Long Battery Life, Fast Intel i5 Processor for Multi-Tasking, 8GB RAM, 512GB Storage with Windows 11, Sage Microsoft Copilot",,Microsoft,799.99,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Laptops"",""Traditional Laptops""]"
"HP 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN",,HP,81.89,"[""Office Products"",""Office Electronics"",""Printers & Accessories"",""Printer Parts & Accessories"",""Printer Ink & Toner"",""Inkjet Ink Cartridges""]"
"Microsoft Surface Pro 9, 13"" 2-in-1 Tablet & Laptop, Thin & Lightweight, Intel 12th Gen i7 Fast Processor for Multi-Tasking, 32GB Ram, 1TB Storage with Windows 11, Platinum Microsoft Copilot",,Microsoft,2599.99,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Tablets""]"
"Microsoft Surface Pro 2-in-1 Laptop/Tablet (2024), Windows 11 Copilot+ PC, 13"" Touchscreen Display, Snapdragon X Plus (10 Core), 16GB RAM, 256GB Storage, Platinum",,Microsoft,749.99,"[""Electronics"",""Computers & Accessories"",""Computers & Tablets"",""Laptops"",""2 in 1 Laptops""]"
"Simple&Opulence 100% Linen Sheets Queen Size Set, 4 Pcs Natural French Linen Bed Sheets, Breathable Soft Durable Bedding Set for All Season (Linen, Queen)",,Simple&Opulence,117.99,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Sheet & Pillowcase Sets""]"
Arctis GameBuds for PlayStation/PC/Switch/Mobile — 2.4GHz + Bluetooth 5.3 Earbuds — Active Noise Cancelling — Mobile App Sound Presets — Water Resistant IP55 — 40H Battery with Qi Charging Case,,SteelSeries,159.99,"[""Video Games"",""PlayStation 4"",""Accessories"",""Headsets""]"
"SteelSeries Arctis Nova 1X Gaming Headset - Signature Arctis Sound - ClearCast Gen 2 Mic - Xbox Series X|S, PC, PlayStation, Switch, and Mobile",,SteelSeries,49.99,"[""Video Games"",""PC"",""Accessories"",""Headsets""]"
